filename,date,subject,spac_freq,drift vel,grat_gap,eccentricity,type_vernier,stim1_contrast,stim1_RGB_min,stim1_RGB_max,stim2_contrast,stim2_RGB_min,stim2_RGB_max,stim1_reversals,stim2_reversals
mj gratvernier 89.txt,3/17/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 21.261, 26.787, 16.875, 42.522, 16.875, 42.522, 26.787, 33.75, 21.261, 26.787]","[53.574, 85.044, 67.5, 85.044, 53.574, 67.5, 42.522, 67.5, 33.75, 67.5, 21.261, 26.787]"
mj gratvernier 84.txt,3/17/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 13.393, 26.787, 21.261, 26.787, 16.875, 21.261, 16.875, 21.261, 13.393, 26.787]","[21.261, 85.044, 33.75, 42.522, 33.75, 42.522, 26.787, 42.522, 26.787, 42.522, 33.75, 53.574]"
mj gratvernier 73.txt,3/16/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 53.574, 42.522, 53.574, 26.787, 67.5, 42.522, 53.574, 42.522, 53.574, 33.75, 67.5]","[33.75, 85.044, 42.522, 53.574, 42.522, 85.044, 42.522, 67.5, 42.522, 67.5, 53.574, 67.5]"
mj gratvernier 56.txt,3/14/2011,mj,0.4,2,0.2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[5.3153, 13.393, 6.6969, 8.4375, 5.3153, 6.6969, 5.3153, 6.6969, 3.3484, 5.3153, 2.6576, 4.218]","[8.4375, 21.261, 4.218, 5.3153, 2.6576, 3.3484, 2.109, 2.6576, 1.6742, 2.6576, 2.109, 3.3484]"
mj gratvernier 50.txt,3/14/2011,mj,0.4,2,1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 26.787, 33.75, 10.63, 21.261, 16.875, 21.261, 13.393, 16.875, 8.4375, 10.63]","[8.4375, 13.393, 10.63, 26.787, 21.261, 26.787, 21.261, 26.787, 10.63, 13.393, 10.63, 13.393]"
mj gratvernier 83.txt,3/17/2011,mj,0.4,2,2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 16.875, 8.4375, 16.875, 10.63, 16.875, 10.63, 16.875, 13.393, 21.261]","[21.261, 33.75, 21.261, 26.787, 21.261, 26.787, 21.261, 26.787, 16.875, 21.261, 13.393, 26.787]"
mj gratvernier 101.txt,3/21/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 42.522, 53.574, 26.787, 33.75, 21.261, 33.75, 26.787, 42.522, 33.75, 42.522]","[33.75, 85.044, 42.522, 53.574, 21.261, 42.522, 33.75, 53.574, 42.522, 53.574, 26.787, 33.75]"
mj gratvernier 66.txt,3/15/2011,mj,0.4,2,0,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 6.6969, 10.63, 4.218, 5.3153, 4.218, 5.3153, 4.218, 5.3153, 4.218, 5.3153]","[13.393, 21.261, 10.63, 13.393, 2.109, 3.3484, 2.109, 2.6576, 2.109, 2.6576, 2.109, 6.6969]"
mj gratvernier 79.txt,3/16/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 16.875, 13.393, 16.875, 13.393, 16.875, 13.393, 33.75, 26.787, 33.75]","[21.261, 33.75, 10.63, 16.875, 13.393, 42.522, 33.75, 53.574, 26.787, 53.574, 21.261, 33.75]"
mj gratvernier 85.txt,3/17/2011,mj,0.4,2,1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 53.574, 26.787, 33.75, 10.63, 16.875, 13.393, 16.875, 13.393, 26.787, 13.393, 16.875]","[33.75, 53.574, 21.261, 26.787, 13.393, 21.261, 16.875, 26.787, 16.875, 21.261, 16.875, 42.522]"
mj gratvernier 72.txt,3/16/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 85.044, 21.261, 26.787, 21.261, 53.574, 26.787, 33.75, 21.261, 42.522, 16.875, 21.261]","[13.393, 85.044, 26.787, 67.5, 53.574, 67.5, 53.574, 67.5, 26.787, 33.75, 16.875, 21.261]"
