file_name,observer_name,type_grating,spatial_frequency,contrast_level,rgb_min,rgb_max,scase1_reversals,scase2_reversals
re SCSF 54.txt,re,Compound,0.251,100.0,"[0, 0, 0]","[705, 107, 0]","[0.3981, 0.79432, 0.56234, 1.5848, 1.122, 1.5848, 1.122, 1.5848, 0.79432, 1.5848, 1.122, 1.5848]","[0.79432, 3.1622, 2.2387, 3.1622, 1.122, 2.2387, 1.5848, 3.1622, 2.2387, 3.1622, 1.122, 1.5848]"
kh SCSF 29.txt,kh,Luminance,0.251,100.0,"[0, 0, 0]","[705, 0]","[50.118, 0.19952, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.3981, 0.56234, 0.3981, 0.79432, 0.3981]","[0.79432, 1.5848, 0.79432, 1.122, 0.19952, 1.122, 0.3981, 0.79432, 0.56234, 1.122, 0.79432, 1.122]"
mj SCSF 15.txt,mj,Equiluminance,1.585,100.0,"[0, 211, 0]","[700, 0, 0]","[1.5848, 3.1622, 1.5848, 3.1622, 2.2387, 3.1622, 1.5848, 2.2387, 1.5848, 4.4668, 2.2387, 3.1622]","[25.118, 50.118, 6.3095, 8.9125, 6.3095, 8.9125, 1.5848, 2.2387, 1.122, 2.2387, 1.5848, 6.3095]"
re SCSF 148.txt,re,Compound,0.1,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.19952, 0.3981, 0.19952, 0.3981, 0.28183, 0.56234, 0.3981, 0.79432, 0.3981, 1.122, 0.0, 0.79432]","[0.3981, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432]"
re SCSF 22.txt,re,Compound,0.398,100.0,"[0, 0, 0]","[705, 107, 0]","[3.1622, 6.3095, 0.3981, 0.56234, 0.28183, 0.3981, 0.0, 0.14125, 0.0, 0.14125, 0.070794, 0.0]","[0.3981, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432, 0.3981, 0.56234, 0.0, 0.14125, 0.050118, 0.28183]"
mj SCSF 45.txt,mj,Compound,1.585,100.0,"[0, 0, 0]","[700, 211, 0]","[0.79432, 1.5848, 0.56234, 2.2387, 1.5848, 6.3095, 4.4668, 6.3095, 1.122, 2.2387, 1.5848, 3.1622]","[25.118, 50.118, 1.5848, 4.4668, 1.5848, 3.1622, 1.5848, 3.1622, 1.5848, 3.1622, 2.2387, 3.1622]"
re SCSF 142.txt,re,Compound,0.1,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.19952, 0.3981, 0.28183, 0.3981, 0.19952, 0.56234, 0.3981, 0.56234, 0.3981, 0.79432, 0.28183, 0.56234]","[0.3981, 0.79432, 0.3981, 0.56234, 0.19952, 0.28183, 0.19952, 0.79432, 0.28183, 0.3981, 0.19952, 0.56234]"
re SCSF 189.txt,re,Compound,1.585,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.79432, 3.1622, 1.122, 1.5848, 1.122, 4.4668, 3.1622, 4.4668, 1.5848, 3.1622, 2.2387, 4.4668]","[50.118, 3.1622, 8.9125, 1.5848, 4.4668, 2.2387, 4.4668, 3.1622, 4.4668, 1.5848, 3.1622, 2.2387]"
re SCSF 195.txt,re,Compound,1.0,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.79432, 3.1622, 1.5848, 2.2387, 0.79432, 1.122, 0.14125, 0.56234, 0.3981, 0.56234, 0.3981, 1.5848]","[0.79432, 12.589, 1.122, 2.2387, 1.122, 2.2387, 1.5848, 2.2387, 0.79432, 2.2387, 1.5848, 3.1622]"
kh SCSF 53.txt,kh,Compound,0.158,100.0,"[0, 0, 0]","[705, 200, 0]","[0.3981, 0.79432, 0.3981, 0.56234, 0.19952, 0.3981, 0.28183, 0.3981, 0.28183, 0.56234, 0.3981, 0.56234]","[50.118, 0.19952, 0.56234, 0.28183, 0.56234, 0.28183, 0.3981, 0.28183, 0.56234, 0.19952, 0.28183, 0.19952]"
